Date,Close
11-Aug-06,11192.46
14-Aug-06,11312.99
16-Aug-06,11448.31
17-Aug-06,11477.48
18-Aug-06,11465.72
21-Aug-06,11511.68
22-Aug-06,11502.62
23-Aug-06,11406.65
24-Aug-06,11531.95
25-Aug-06,11572.2
28-Aug-06,11619.52
29-Aug-06,11706.85
30-Aug-06,11723.92
31-Aug-06,11699.05
1-Sep-06,11778.02
4-Sep-06,11914.21
5-Sep-06,11904.6
6-Sep-06,11933.21
7-Sep-06,11853.85
8-Sep-06,11918.65
11-Sep-06,11550.69
12-Sep-06,11660.79
13-Sep-06,11893.79
14-Sep-06,11973.02
15-Sep-06,12009.59
18-Sep-06,12071.3
19-Sep-06,11970.47
20-Sep-06,12109.14
21-Sep-06,12274.27
22-Sep-06,12236.78
25-Sep-06,12173.91
26-Sep-06,12321.19
27-Sep-06,12366.91
28-Sep-06,12380.74
29-Sep-06,12454.42
3-Oct-06,12366.39
4-Oct-06,12204.01
5-Oct-06,12389.41
6-Oct-06,12372.81
9-Oct-06,12365.83
10-Oct-06,12363.77
11-Oct-06,12353.49
12-Oct-06,12537.98
13-Oct-06,12736.42
16-Oct-06,12928.18
17-Oct-06,12883.83
18-Oct-06,12858.48
19-Oct-06,12723.59
20-Oct-06,12709.4
21-Oct-06,12736.82
23-Oct-06,12623.28
26-Oct-06,12698.41
27-Oct-06,12906.81
30-Oct-06,13024.26
31-Oct-06,12961.9
1-Nov-06,13033.04
2-Nov-06,13091.12
3-Nov-06,13130.79
6-Nov-06,13186.89
7-Nov-06,13156.66
8-Nov-06,13072.51
9-Nov-06,13137.49
10-Nov-06,13282.91
13-Nov-06,13399
14-Nov-06,13425.5
15-Nov-06,13469.37
16-Nov-06,13505.89
17-Nov-06,13429.48
20-Nov-06,13430.71
21-Nov-06,13616.77
22-Nov-06,13706.53
23-Nov-06,13680.83
24-Nov-06,13703.33
27-Nov-06,13773.59
28-Nov-06,13601.95
29-Nov-06,13616.73
30-Nov-06,13696.31
1-Dec-06,13844.78
4-Dec-06,13874.33
5-Dec-06,13937.65
6-Dec-06,13949
7-Dec-06,13972.03
8-Dec-06,13799.49
11-Dec-06,13399.43
12-Dec-06,12995.02
13-Dec-06,13181.34
14-Dec-06,13487.16
15-Dec-06,13614.52
18-Dec-06,13731.09
19-Dec-06,13382.01
20-Dec-06,13340.21
21-Dec-06,13384.86
22-Dec-06,13471.74
26-Dec-06,13708.34
27-Dec-06,13859.69
28-Dec-06,13846.34
29-Dec-06,13786.91
2-Jan-07,13942.24
3-Jan-07,14014.92
4-Jan-07,13871.71
5-Jan-07,13860.52
8-Jan-07,13652.15
9-Jan-07,13566.33
10-Jan-07,13362.16
11-Jan-07,13630.71
12-Jan-07,14056.53
15-Jan-07,14129.64
16-Jan-07,14114.73
17-Jan-07,14131.34
18-Jan-07,14217.75
19-Jan-07,14182.71
22-Jan-07,14209.24
23-Jan-07,14041.24
24-Jan-07,14110.46
25-Jan-07,14282.72
29-Jan-07,14211.96
31-Jan-07,14090.92
1-Feb-07,14267.18
2-Feb-07,14403.77
5-Feb-07,14515.9
6-Feb-07,14478.19
7-Feb-07,14643.13
8-Feb-07,14652.09
9-Feb-07,14538.9
12-Feb-07,14190.7
13-Feb-07,14090.98
14-Feb-07,14009.9
15-Feb-07,14355.55
19-Feb-07,14402.9
20-Feb-07,14253.38
21-Feb-07,14188.49
22-Feb-07,14021.31
23-Feb-07,13632.53
26-Feb-07,13649.52
27-Feb-07,13478.83
28-Feb-07,12938.09
1-Mar-07,13159.55
2-Mar-07,12886.13
5-Mar-07,12415.04
